DATE,OPEN,CLOSE,CHOICES,INDIC1,ACCOUNT,POSITION,MKTVALUE,NETWORTH,FLOW,COMMISSION,HIST_PRICE
2004-08-19,100,100.34,null,-1,100000,0,0,100000,0,0,0.0
2004-08-20,101.01,108.31,null,-1,100000,0,0,100000,-0,-0,0.0
2004-08-23,110.75,109.4,null,-1,100000,0,0,100000,-0,-0,0.0
2004-08-24,111.24,104.87,null,-1,100000,0,0,100000,-0,-0,0.0
2004-08-25,104.96,106,buy,105.78400000000002,100000,0,0,100000,-0,-0,0.0
2004-08-26,104.95,107.91,buy,107.298,87.59999999999127,952,102730.31999999999,102817.91999999998,-99912.40000000001,-0,104.95
2004-08-27,108.1,106.15,short,106.86599999999999,87.59999999999127,952,101054.8,101142.4,-0,-0,104.95
2004-08-30,105.28,102.01,short,105.38799999999999,200540.71999999997,-952,-97113.52,103427.19999999997,200453.12,-0,105.28
2004-08-31,102.3,102.37,short,104.888,200540.71999999997,-952,-97456.24,103084.47999999997,-0,-0,105.28
2004-09-01,102.7,100.25,short,103.73800000000001,200540.71999999997,-952,-95438,105102.71999999997,-0,-0,105.28
2004-09-02,99.19,101.51,short,102.45800000000001,200540.71999999997,-952,-96637.52,103903.19999999997,-0,-0,105.28
2004-09-03,100.95,100.01,short,101.22999999999999,200540.71999999997,-952,-95209.52,105331.19999999997,-0,-0,105.28
2004-09-07,101.01,101.58,buy,101.14399999999999,200540.71999999997,-952,-96704.16,103836.55999999997,-0,-0,105.28
2004-09-08,100.74,102.3,buy,101.13,68.11999999998079,1038,106187.4,106255.51999999997,-200472.59999999998,-0,100.74
2004-09-09,102.53,102.31,buy,101.542,68.11999999998079,1038,106197.78,106265.89999999998,-0,-0,100.74
2004-09-10,101.6,105.33,buy,102.306,68.11999999998079,1038,109332.54,109400.65999999997,-0,-0,100.74
2004-09-13,106.63,107.5,buy,103.804,68.11999999998079,1038,111585,111653.11999999998,-0,-0,100.74
2004-09-14,107.45,111.49,buy,105.78599999999999,68.11999999998079,1038,115726.62,115794.73999999998,-0,-0,100.74
2004-09-15,110.56,112,buy,107.726,68.11999999998079,1038,116256,116324.11999999998,-0,-0,100.74
2004-09-16,112.34,113.97,buy,110.05799999999999,68.11999999998079,1038,118300.86,118368.97999999998,-0,-0,100.74
2004-09-17,114.42,117.49,buy,112.49000000000001,68.11999999998079,1038,121954.62,122022.73999999998,-0,-0,100.74
2004-09-20,116.95,119.36,buy,114.86200000000001,68.11999999998079,1038,123895.68,123963.79999999997,-0,-0,100.74
