DATE,OPEN,CLOSE,CHOICES,INDIC1,INDIC2,ACCOUNT,POSITION,MKTVALUE,NETWORTH,FLOW,COMMISSION,HIST_PRICE
2025-02-28,79.9800033569336,84.91999816894531,null,-1,-1,100000,0,0,100000,0,0,0.0
2025-03-03,88.55000305175781,83.41999816894531,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2025-03-04,80.16000366210938,84.4000015258789,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2025-03-05,86.3499984741211,90.12999725341795,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2025-03-06,87.50499725341797,80.45999908447266,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2025-03-07,80.0250015258789,84.91000366210938,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2025-03-10,82,76.37999725341797,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2025-03-11,75.78500366210938,78.05000305175781,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2025-03-12,83.4800033569336,83.6500015258789,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2025-03-13,82.84500122070313,79.62000274658203,null,82.59400024414063,-1,100000,0,0,100000,-0,-0,0.0
2025-03-14,82.97000122070313,86.23999786376953,null,82.72600021362305,-1,100000,0,0,100000,-0,-0,0.0
2025-03-17,88.44000244140625,87.3499984741211,null,83.11900024414062,-1,100000,0,0,100000,-0,-0,0.0
2025-03-18,85.77999877929688,83.88999938964844,null,83.06800003051758,-1,100000,0,0,100000,-0,-0,0.0
2025-03-19,84.55000305175781,86.0999984741211,null,82.6650001525879,-1,100000,0,0,100000,-0,-0,0.0
2025-03-20,85.54000091552734,87.38999938964844,null,83.35800018310547,-1,100000,0,0,100000,-0,-0,0.0
2025-03-21,85.8499984741211,90.95999908447266,null,83.9629997253418,-1,100000,0,0,100000,-0,-0,0.0
2025-03-24,93.4000015258789,96.75,null,86,-1,100000,0,0,100000,-0,-0,0.0
2025-03-25,97.22000122070313,96.5,null,87.84499969482422,-1,100000,0,0,100000,-0,-0,0.0
2025-03-26,96.29000091552734,92.27999877929688,null,88.70799942016602,-1,100000,0,0,100000,-0,-0,0.0
2025-03-27,91.01499938964844,90.08999633789063,buy,89.75499877929687,86.17449951171875,100000,0,0,100000,-0,-0,0.0
2025-03-28,89.33999633789063,85.8499984741211,buy,89.71599884033203,86.22099952697754,28.544097900390625,1119,96066.1482925415,96094.6923904419,-99971.45590209961,-0,89.33999633789062
2025-03-31,80,84.4000015258789,buy,89.4209991455078,86.26999969482422,28.544097900390625,1119,94443.6017074585,94472.14580535889,-0,-0,89.33999633789062
2025-04-01,83.88999938964844,84.68000030517578,buy,89.49999923706055,86.28399963378907,28.544097900390625,1119,94756.9203414917,94785.46443939209,-0,-0,89.33999633789062
2025-04-02,82.4000015258789,87.44999694824219,buy,89.63499908447265,86.14999961853027,28.544097900390625,1119,97856.54658508301,97885.0906829834,-0,-0,89.33999633789062
2025-04-03,81.25,83.5999984741211,buy,89.25599899291993,86.3069995880127,28.544097900390625,1119,93548.3982925415,93576.9423904419,-0,-0,89.33999633789062
2025-04-04,80.06999969482422,74.01000213623047,buy,87.56099929809571,85.76199951171876,28.544097900390625,1119,82817.1923904419,82845.73648834229,-0,-0,89.33999633789062
2025-04-07,66.6500015258789,77.83999633789063,short,85.66999893188476,85.83499946594239,28.544097900390625,1119,87102.95590209961,87131.5,-0,-0,89.33999633789062
2025-04-08,83.29000091552734,77.31999969482422,short,83.75199890136719,85.7984992980957,186431.5661468506,-1119,-86521.0796585083,99910.48648834229,186403.0220489502,-0,83.29000091552734
2025-04-09,78.19000244140625,92.01000213623048,short,83.72499923706054,86.21649932861328,186431.5661468506,-1119,-102959.19239044191,83472.37375640868,-0,-0,83.29000091552734
2025-04-10,88.4000015258789,88.58999633789063,short,83.57499923706055,86.66499900817871,186431.5661468506,-1119,-99132.20590209961,87299.36024475098,-0,-0,83.29000091552734
2025-04-11,87.9800033569336,88.55000305175781,short,83.84499969482422,86.78049926757812,186431.5661468506,-1119,-99087.45341491699,87344.1127319336,-0,-0,83.29000091552734
2025-04-14,95.8000030517578,92.62000274658205,short,84.66699981689453,87.04399948120117,186431.5661468506,-1119,-103641.78307342531,82789.78307342528,-0,-0,83.29000091552734
2025-04-15,93.52999877929688,98.4000015258789,short,86.03899993896485,87.76949958801269,186431.5661468506,-1119,-110109.6017074585,76321.96443939209,-0,-0,83.29000091552734
2025-04-16,96.27999877929688,92.70999908447266,short,86.56500015258788,88.09999961853028,186431.5661468506,-1119,-103742.4889755249,82689.07717132568,-0,-0,83.29000091552734
2025-04-17,94.70999908447266,93.77999877929688,short,87.58300018310547,88.4194995880127,186431.5661468506,-1119,-104939.8186340332,81491.74751281738,-0,-0,83.29000091552734
2025-04-21,92.83999633789063,90.8000030517578,buy,89.2620002746582,88.41149978637695,186431.5661468506,-1119,-101605.20341491698,84826.36273193361,-0,-0,83.29000091552734
2025-04-22,93.01499938964844,93.98999786376952,buy,90.87700042724609,88.27349967956543,29.507369995117188,885,83181.14810943602,83210.65547943114,-186402.05877685547,-0,93.01499938964844
2025-04-23,98.86000061035156,100.81999969482422,buy,93.2270004272461,88.48949966430663,29.507369995117188,885,89225.69972991943,89255.20709991455,-0,-0,93.01499938964844
2025-04-24,101.52999877929688,107.77999877929688,buy,94.80400009155274,89.26449966430664,29.507369995117188,885,95385.29891967773,95414.80628967285,-0,-0,93.01499938964844
2025-04-25,108.0500030517578,112.77999877929688,buy,97.22300033569336,90.39899978637695,29.507369995117188,885,99810.29891967773,99839.80628967285,-0,-0,93.01499938964844
2025-04-28,113.77999877929688,114.6500015258789,buy,99.83300018310547,91.83899993896485,29.507369995117188,885,101465.25135040283,101494.75872039795,-0,-0,93.01499938964844
2025-04-29,113.9800033569336,116.08000183105467,buy,102.17900009155274,93.42299995422363,29.507369995117188,885,102730.80162048338,102760.3089904785,-0,-0,93.01499938964844
2025-04-30,111.61000061035156,118.44000244140624,buy,104.18300018310546,95.11100006103516,29.507369995117188,885,104819.40216064452,104848.90953063963,-0,-0,93.01499938964844
2025-05-01,120.04000091552734,116.1999969482422,buy,106.53199996948243,96.54850006103516,29.507369995117188,885,102836.99729919435,102866.50466918947,-0,-0,93.01499938964844
2025-05-02,118.66000366210938,124.27999877929688,buy,109.58199996948242,98.58250007629394,29.507369995117188,885,109987.79891967773,110017.30628967285,-0,-0,93.01499938964844
2025-05-05,123.6999969482422,123.7699966430664,buy,112.87899932861328,101.07049980163575,29.507369995117188,885,109536.44702911377,109565.95439910889,-0,-0,93.01499938964844
2025-05-06,112.70999908447266,108.86000061035156,buy,114.36599960327149,102.62150001525879,29.507369995117188,885,96341.10054016113,96370.60791015625,-0,-0,93.01499938964844
2025-05-07,107.97000122070313,110.4800033569336,buy,115.33199996948242,104.27950019836426,29.507369995117188,885,97774.80297088623,97804.31034088135,-0,-0,93.01499938964844
