DATE,OPEN,CLOSE,CHOICES,INDIC1,INDIC2,ACCOUNT,POSITION,MKTVALUE,NETWORTH,FLOW,COMMISSION,HIST_PRICE
2025-02-28,118.0199966430664,124.91999816894533,null,-1,-1,100000,0,0,100000,0,0,0.0
2025-03-03,123.51000213623048,114.05999755859376,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2025-03-04,110.6500015258789,115.98999786376952,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2025-03-05,117.58000183105467,117.3000030517578,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2025-03-06,113.52999877929688,110.56999969482422,null,116.56799926757813,-1,100000,0,0,100000,-0,-0,0.0
2025-03-07,111.25,112.69000244140624,null,114.12200012207032,-1,100000,0,0,100000,-0,-0,0.0
2025-03-10,109.9000015258789,106.9800033569336,null,112.70600128173828,-1,100000,0,0,100000,-0,-0,0.0
2025-03-11,106.98999786376952,108.76000213623048,null,111.26000213623047,-1,100000,0,0,100000,-0,-0,0.0
2025-03-12,114.12000274658205,115.73999786376952,null,110.94800109863282,-1,100000,0,0,100000,-0,-0,0.0
2025-03-13,117.02999877929688,115.58000183105467,null,111.9500015258789,-1,100000,0,0,100000,-0,-0,0.0
2025-03-14,118.61000061035156,121.66999816894533,null,113.74600067138672,-1,100000,0,0,100000,-0,-0,0.0
2025-03-17,122.73999786376952,119.52999877929688,null,116.25599975585938,-1,100000,0,0,100000,-0,-0,0.0
2025-03-18,118,115.43000030517578,null,117.58999938964844,-1,100000,0,0,100000,-0,-0,0.0
2025-03-19,117.2699966430664,117.5199966430664,null,117.94599914550781,-1,100000,0,0,100000,-0,-0,0.0
2025-03-20,116.5500030517578,118.52999877929688,null,118.53599853515625,-1,100000,0,0,100000,-0,-0,0.0
2025-03-21,116.94000244140624,117.6999969482422,null,117.74199829101562,-1,100000,0,0,100000,-0,-0,0.0
2025-03-24,119.87999725341795,121.41000366210938,null,118.11799926757813,-1,100000,0,0,100000,-0,-0,0.0
2025-03-25,120.5500030517578,120.69000244140624,null,119.16999969482421,-1,100000,0,0,100000,-0,-0,0.0
2025-03-26,118.7300033569336,113.76000213623048,null,118.41800079345703,-1,100000,0,0,100000,-0,-0,0.0
